[2021-12-16 17:07:23.180] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:07:33.182] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:07:43.184] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:07:53.186] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:03.188] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:13.190] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:23.191] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:33.193] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:43.196] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:08:53.197] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:03.198] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:13.199] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:23.200] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:33.201] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:43.203] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:09:53.204] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:03.205] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:13.206] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:23.208] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:33.211] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:43.213] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:10:53.215] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:03.217] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:13.218] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:23.219] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:33.220] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:43.221] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:11:53.223] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:03.225] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:13.227] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:23.229] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:33.231] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:43.233] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:12:53.235] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:13:03.237] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:13:13.238] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:13:23.240] [error] mpd: Failed to connect to MPD: Connection refused
